Date,averagehourly_earnings,all_employees_manufacturing,producer_price_index,durable_goods_new_orders,manufacturers_new_orders_total,Adj Close
2013-06-01,23.96,12004,193.9,247187,501703,14824.0
2013-07-01,23.98,11984,194.0,220366,481319,15433.0
2013-08-01,24.02,12014,194.6,224700,484962,14795.0
2013-10-01,24.09,12056,193.7,232113,491978,15477.0
2013-11-01,24.16,12079,192.7,243262,503515,16066.0
2014-01-01,24.23,12081,194.2,224410,486935,15630.0
2014-02-01,24.33,12106,195.2,231734,496729,16307.0
2014-03-01,24.32,12120,196.2,235757,497989,16373.0
2014-04-01,24.34,12134,197.5,237607,501596,16511.0
2014-05-01,24.4,12146,197.2,234339,495265,16704.0
2014-07-01,24.48,12189,197.4,299869,559295,16494.0
2014-08-01,24.54,12208,197.4,236049,495344,17085.0
2014-09-01,24.55,12226,196.8,236278,492913,16965.0
2014-10-01,24.58,12259,194.8,233042,485343,17311.0
2014-11-01,24.66,12284,192.7,227299,475804,17812.0
2014-12-01,24.62,12292,189.1,225089,464933,17752.0
2015-01-01,24.75,12292,185.0,226500,457925,17097.0
2015-04-01,24.89,12318,185.7,226217,460289,17759.0
2015-05-01,24.97,12333,188.2,217855,450983,18009.0
2015-06-01,24.97,12334,188.9,229732,463819,17523.0
2015-07-01,25.0,12349,188.5,227727,459623,17614.0
2015-08-01,25.09,12345,187.0,222828,450872,16508.0
2015-09-01,25.11,12354,184.3,217818,443626,16172.0
2015-10-01,25.19,12362,183.7,226413,450910,17594.0
2015-12-01,25.24,12362,180.8,218027,436169,17341.0
2016-01-01,25.38,12383,179.7,229203,443032,16356.0
2016-02-01,25.38,12365,178.7,217223,431196,16497.0
2016-03-01,25.45,12342,179.3,218868,436598,17595.0
2016-04-01,25.53,12353,180.5,230281,448453,17693.0
2016-06-01,25.62,12350,183.6,207430,430261,17819.0
2016-07-01,25.69,12372,183.4,215715,435507,18362.0
2016-08-01,25.72,12348,182.5,218051,438959,18395.0
2016-09-01,25.77,12347,183.0,216921,438760,18219.0
2016-10-01,25.89,12345,183.7,233645,456552,18062.0
2016-11-01,25.9,12342,183.2,215307,437433,19132.0
2016-12-01,25.92,12355,183.9,219170,447970,19720.0
2017-02-01,26.07,12380,186.2,221923,452625,20807.0
2017-03-01,26.11,12393,186.7,223132,452140,20604.0
2017-04-01,26.17,12400,187.6,225070,454258,20874.0
2017-05-01,26.21,12409,187.3,222436,450239,21002.0
2017-06-01,26.26,12422,187.6,236645,464508,21300.0
2017-07-01,26.36,12423,187.3,217820,446837,21842.0
2017-08-01,26.38,12467,188.4,222295,453565,21950.0
2017-09-01,26.49,12477,189.6,228172,461137,22346.0
2017-11-01,26.53,12505,191.2,229799,470852,24274.0
2017-12-01,26.61,12533,191.3,240218,481816,24735.0
2018-01-01,26.73,12561,192.6,227080,470594,26136.0
2018-02-01,26.75,12584,193.5,235442,479219,25038.0
2018-03-01,26.86,12610,194.0,243135,486534,24147.0
2018-05-01,26.98,12657,197.7,241312,490164,24417.0
2018-06-01,27.04,12691,198.4,240396,489657,24265.0
2018-08-01,27.2,12725,198.6,243656,494392,25988.0
2018-09-01,27.32,12744,198.9,244691,496543,26476.0
2018-10-01,27.37,12767,200.4,236072,487659,25077.0
2018-11-01,27.44,12777,198.4,232640,477751,25539.0
2018-12-01,27.55,12796,195.2,239442,480710,23268.0
2019-01-01,27.59,12828,194.3,232853,474710,24976.0
2019-02-01,27.71,12818,195.4,227669,471512,25913.0
2019-03-01,27.8,12825,197.4,237072,480547,25933.0
2019-04-01,27.78,12822,199.2,228770,473631,26584.0
2019-05-01,27.86,12818,199.1,220441,464322,24820.0
2019-06-01,27.95,12824,197.0,219395,458788,26593.0
2019-07-01,28.02,12827,197.5,224705,464634,26855.0
2019-08-01,28.13,12826,196.4,226911,464972,26406.0
2019-10-01,28.23,12771,196.6,221854,456077,26982.0
2019-11-01,28.35,12816,196.5,213862,447621,28073.0
2020-01-01,28.44,12785,196.6,229093,459296,28196.0
2020-02-01,28.55,12780,195.1,236175,461771,25364.0
2020-04-01,30.01,11419,186.1,161041,355712,24230.0
2020-05-01,29.72,11652,188.9,180205,376125,25378.0
2020-06-01,29.38,11982,190.2,196254,403154,25689.0
2020-07-01,29.38,12019,192.3,218792,430698,26319.0
2020-08-01,29.48,12047,193.0,223081,437213,28416.0
2020-09-01,29.51,12102,192.9,223838,440175,27664.0
2020-10-01,29.54,12124,193.7,231044,449054,26394.0
2020-12-01,29.9,12194,196.7,234080,464003,30497.0
2021-01-01,29.93,12188,199.6,245054,483223,29879.0
2021-02-01,30.06,12217,203.1,246694,487080,30912.0
2021-03-01,30.06,12272,207.9,249140,492629,32898.0
2021-04-01,30.21,12232,210.1,247400,495617,33767.0
2021-05-01,30.39,12264,215.1,248259,502655,34513.0
2021-06-01,30.54,12285,217.9,249305,510229,34399.0
2021-07-01,30.65,12353,219.492,253770,517777,34832.0
2021-09-01,30.95,12439,221.869,251271,521202,33722.0
2021-10-01,31.15,12497,225.478,257877,535260,35704.0
2021-11-01,31.24,12534,227.109,263631,544773,34457.0
2021-12-01,31.4,12575,226.47,266894,549680,36226.0
2022-01-01,31.63,12602,231.495,274707,561562,34997.0
2022-02-01,31.65,12649,237.245,271418,562290,33840.0
2022-03-01,31.84,12717,245.404,271005,574092,34618.0
2022-04-01,31.95,12768,249.56,272987,577383,32882.0
